Class,Policy
Mitigation,Add link to iCommute (or similar program) on City’s Sustainability webpage
Mitigation,Review iCommute toolkit (or similar program) for integrating TDM into development review process
Mitigation,Work with SANDAG and area jurisdictions to develop outreach campaign that encourages use of iCommute program offerings
Mitigation,"Identify employers that would benefit from customized commuter benefits program, as offered through SANDAG (or similar programs)"
Mitigation,"Identify local employers currently offering commuter benefits programs, and host knowledge-sharing workshop, previously identified local businesses, and iCommute program representatives to discuss program structures and cost / benefit considerations"
Mitigation,"Develop program for commuters as part of development review, independently or with support from SANDAG, to include transportation benefits such as carpool / vanpool priority parking areas, electric vehicle charging stations, secure bicycle parking, access to locker room / shower facilities, and possibly subsidized transit passes. Adopt zoning ordinance to incorporate these programs for new development."
Mitigation,"Reduce VMT per capita by 6% compared to 2010 levels (25.1 daily VMT per capita in 2010);
The emissions reductions associated with this standard can be achieved through reducing travel demand or by combining a reduction in travel demand with a change to less GHG-emitting fuel sources (electric vehicles, for example) that provides equivalent benefit for GHG emissions reductions."
Mitigation,"Host roundtable discussion or individual interviews with representatives of local development community to identify primary barriers to higher-density / intensity development in transit-served areas throughout community; include an examination of whether impact fees can be adjusted to reflect reduced utility / service demands of higher-density, mixed- use development"
Mitigation,Take steps to reduce / remove identified municipal barriers to such development to facilitate higher-density development within designated areas to increase potential ridership of residents and employees along existing transit routes
Mitigation,"As part of General Plan update, amendment, or stand-alone guidance, develop VMT impact analysis and mitigation guidelines for proposed development"
Mitigation,Adopt zoning amendment that provides incentives for new development to incorporate TDM strategies
Mitigation,"Work with SANDAG to enhance local transit service options in designated higher-density, mixed-use development areas to take advantage of proximity to new potential transit riders"
Mitigation,Participate in future SANDAG-led mobility hub planning programs to lay foundation for long-term VMT reduction opportunities in La Mesa
Mitigation,"Identify areas that could support increase in population or employment within ¼ - ½ mile walking distance to transit stops (e.g., trolley station areas). Expand Mixed Use land use designation and zoning district in vicinity of LM-5, Amaya Trolley Station, and LM-7, Spring Street Trolley Station regional Smart Growth Areas"
Mitigation,"Work with Public Works Department to evaluate capacity for higher-density / intensity development in these areas, and develop prioritization and funding strategies to complete necessary infrastructure improvements, along with amenities that could be constructed to attract investment"
Mitigation,"Conduct parking surveys in areas with good transit access (e.g., downtown) to determine if existing parking is adequate in quantity and location for future increased development density / intensities; adopt ordinance amendments to allow parking reductions, where appropriate"
Mitigation,"Pending conclusions of parking analysis (i.e., if existing parking standards are found to be too high), reduce off-street parking requirements in these areas for transit-oriented and mixed-use developments, for developments providing shared parking, and / or for developments that incorporate certain travel demand management measures"
Mitigation,"Reduce VMT per capita by 6% compared to 2010 levels (25.1 daily VMT per capita in 2010); 
The emissions reductions associated with this standard can be achieved through reducing travel demand or by combining a reduction in travel demand with a change to less GHG-emitting fuel sources (electric vehicles, for example) that provides equivalent benefit for GHG emissions reductions."
Mitigation,Implement mandatory requirements of CALGreen Building Code related to electric vehicle charging station pre-wiring requirements
Mitigation,Require installation of public-use EV charging units in parking lots of new non-residential construction
Mitigation,"Work with regional partners to establish threshold for such requirements (e.g., new construction of more than 10,000 sq. feet, parking lots with more than 20 parking spaces)"
Mitigation,Update City’s Municipal Code to reflect these changes
Mitigation,"As alternative fueling and recharging station options become available throughout city and region, provide links to maps showing their location on City’s Sustainability webpage"
Mitigation,Include information on available clean vehicle rebate programs
Mitigation,"Partner with SANDAG, SDAPCD, and local multi-family property managers to develop strategies to increase installations of EV charging infrastructure in existing multi- family complexes, including: development of technical guidance, permitting support from Building Division, and identification of rebates or financing options"
Mitigation,"Utilize / promote existing EV Expert support available through Plug-In SD to assist potential EV charging station hosts in evaluating options for their site, including commercial, multi-family, municipal, etc."
Mitigation,Share link to EV Expert on City’s Sustainability website
Mitigation,"Partner with SANDAG, SDAPCD, and other area jurisdictions in exploring cost-effective ways to increase alternative vehicle charging / refueling infrastructure available for public use within community, through grant funded opportunities or partnerships with technology providers (e.g., EV charging infrastructure providers)"
Mitigation,"Participate in regional discussions with SANDAG and SDG&E on technical aspects of alternative refueling strategies such as: infrastructure development, as it relates to increased electricity demand and / or natural gas service expansion, and long-term infrastructure development strategies to support broad regional transition towards alternative fuel vehicle options"
Mitigation,Install EV charging station at City Hall
Mitigation,"Develop municipal fleet low-carbon target; defined as A) Total vehicle fleet composed of X% zero- or lower-carbon vehicles, B) Total vehicle fleet emissions reduction target (can be achieved through combination of reduced VMT, vehicle technology, mode shift, etc.), or C) Total annual fuel use target; define vehicle fleet transition pathway to achieve selected target"
Mitigation,Refer to vehicle fleet assessment of Energy Roadmap when deciding which vehicles to replace with alternative-fuel vehicles
Mitigation,Regularly update assessment to identify opportunities for future vehicle replacement
Mitigation,Explore joint procurement options with other area jurisdictions to leverage regional shift towards cleaner municipal fleets into lower per vehicle costs
Mitigation,"To facilitate this, connect with Public Fleet Supervisors Association to identify partnership opportunities, competitive vendor pricing, and industry best management practices"
Mitigation,"Pursue grant funding, vendor’s promotional offers, or regional joint-procurement partnerships to install alternative fuel charging stations at City facilities for use by municipal vehicles and public"
Mitigation,"At time of replacement, shift passenger vehicle purchases toward EV, hybrid-electric, hydrogen fuel cell, or CNG models"
Mitigation,Include new vehicles' carbon emissions and fuel efficiency as regular procurement criterion
Mitigation,220 gallons of gasoline/yr saved from passenger vehicle replacement;
Mitigation,340 gallons of gasoline/yr saved from light-duty truck replacement
Adaptation,"The City will work with local agencies, businesses, and institutions to promote “Cool Zones” and improve access for residents vulnerable to extreme heat, such as small children, people with chronic diseases, low-income populations, outdoor workers, and the elderly."
Adaptation,"The City will incorporate green infrastructure elements into its new and existing infrastructure to mitigate the effects of the UHIE by reducing areas of heat-absorbing paved surfaces and increasing landscaped areas with planted vegetation. Examples of green infrastructure include cool pavements (e.g., porous pavement and light-colored pavement), street trees and climate-appropriate landscaping, cool roofs, and the creation of additional greenspace."
Adaptation,"The City will increase public outreach and education programs to inform the public of the health risks associated with extreme heat events. The City’s outreach will focus primarily on providing educational opportunities for populations vulnerable to extreme heat such as children, those who are socioeconomically disadvantaged, people who work outside, and the elderly."
Adaptation,"The City will promote the use of passive cooling design (e.g., appropriate building orientation, appropriate shade tree selection and location, window shading, cool roofs) and use the CalGreen voluntary measures for residential and nonresidential buildings to improve energy efficiency."
Adaptation,"The City will work with MTS to incorporate and expand shading and heat island effect reducing features at transit stations within the City. These efforts could include installing shade structure, cool roofs, cool pavements, or street trees along major routes or at major stations."
Adaptation,"The City will coordinate with local and regional water resource agencies to support and improve water conservation efforts and programs for residents. This will include supporting educational outreach to residents, especially populations vulnerable to climate change, on how to best conserve water and reduce water demand."
Adaptation,"In support of implementation of GHG emissions reduction Measure W-1, the City will continue the implementation of its Best Management Practices Design Manual for new developments and redevelopment projects. As new technologies or best practices become available, the City will continue to update this manual to require efficient landscaping throughout the City."
Adaptation,The City will encourage residents and businesses to install greywater systems to reduce the City’s water demand.
Adaptation,"The City will pursue grant funding opportunities for water resource planning projects, when available, and will coordinate with local and regional water districts to develop local water supplies that would not be affected by climate change (e.g., advanced water purification). Specifically, the City will work with Helix Water District to promote diversification of water supplies, desalination as a drought-proof water supply, and increased efficiency of water transfers."
Adaptation,"The City will coordinate with relevant agencies (e.g., FEMA, CalOES, Heartland Fire Department) to identify, plan, and prepare necessary emergency services required to contend with flooding events, including evacuation services, flood management services, and recovery services"
Adaptation,"The City will seek grants and other sources of funding, including the State’s Integrated Regional Water Management Grant Program and mitigation opportunities, to enhance flood control and improve water quality."
Adaptation,The City will promote and/or engage in local and regional ecosystem restoration efforts that will result in increased climate resiliency for flooding events within the City.
Adaptation,The City will participate in the development of future community alert systems or notification systems that provide information to residents and business owners related to wildfires.
Adaptation,"The City will monitor new wildfire-related laws and regulations from the State legislation and will incorporate applicable regulations into the City’s Municipal Code. The City will encourage the use of fireresistant building design, materials, and landscaping."
Adaptation,"The City will explore funding opportunities to preserve, protect, and restore native habitats. The City will monitor/control invasive species by encouraging the removal of non-native vegetation from fire-prone areas."
Adaptation,The City will continue to work with the Heartland Fire District to ensure adequate fire emergency services and resources are available to City residents and businesses.
Adaptation,"The City will promote the use of solar carports on new and existing surface parking lots to mitigate heat absorption and increase shaded areas for the City’s population. The implementation priority would be given to City-owned parking lots to serve as example solar carports. Solar carports would provide increased solar energy generation, reducing demand on existing generation facilities to serve future electricity needs in the City."
Adaptation,"The City will promote climate-adaptive design (e.g. cool roofs) of buildings, public areas, and infrastructure to reduce reliance on mechanical cooling and energy use."
Adaptation,The City will continue to assess all stormwater and wastewater infrastructure in the City and analyze how this infrastructure may be affected or compromised by increased risk of extreme precipitation or flooding events when completing infrastructure projects.
Adaptation,"The City will encourage residents and businesses to adopt energy efficient practices to reduce energy and water demand, and optimize time-of-use."
Adaptation,"In addition to the GHG reduction measures identified in this CAP, the City will encourage the development of solar-based or other renewable energy sources within the City and the larger region."
Mitigation,Replace light-duty municipal vehicles with EVs or other types of ZEVs and replace diesel vehicles with AFVs.
Mitigation,"Install publicly available EV charging stations at municipal facilities for use by City staff, contractors, or others conducting City-related business."
Mitigation,"Adopt a zoning ordinance requiring the installation of EV charging stations for, Five percent of total parking spaces provided at new multi-family and commercial developments, Five percent of total parking spaces provided at multi-family and commercial renovations or additions, with a permit value of $100,000 or greater.

"
Mitigation,Support the GUHSD and LGSD in their efforts to convert the school bus fleet to electric buses.
Mitigation,"Identify Sage Projects that would increase the use of zero-emission or alternative fuel
vehicles and could be implemented by the City."
Mitigation,Synchronize traffic signals at major corridors citywide and participate in the Regional Arterial Management System.
Mitigation,Require new development projects to increase the use of electric-powered or alternatively fueled construction equipment.
Mitigation,Identify Sage Projects that would reduce fossil fuel use and could be implemented by the City
Mitigation,Continue to work with the LGSD to improve safety and efficiency of drop-off/pick-up operations at schools to reduce vehicle idling time.
Mitigation,"Maintain the existing number of vanpools participating in SANDAG’s iCommute Vanpool Program that start or end in the City, and promote participation of City residents and businesses."
Mitigation,Adopt a TDM ordinance requiring new commercial developments to increase the use of alternative modes of transportation and work with existing employment center1 businesses to develop TDM policies.
Mitigation,Continue to support the LGSD’s efforts to implement a Safe Routes to School program to increase the number of students walking and riding bicycles to and from schools.
Mitigation,"Increase the number of commuters using bicycles by completing the Connect Main Street project, which includes the development of two miles of a new Class I bicycle path along Lemon Grove Avenue."
Mitigation,Reduce the number of required parking spaces by at least 50 percent in new multi-family residential developments within the DVSP Transit Mixed Use Zones and near the Massachusetts Avenue trolley station.
Mitigation,Reduce the number of vehicle trips to municipal facilities by providing online permit submittal and processing for all types of building permits.
Mitigation,Increase the number of commuters to college and work that use transit to travel to and from Lemon Grove.
Mitigation,Identify Sage Projects that would reduce vehicle miles traveled and could be implemented by the City
Mitigation,"Work with SANDAG to continue its bicycle safety education activities including Bike Month, bicycle rodeos, and walk-and-roll programs."
Mitigation,Work with community organizations and local bicycle advocacy groups to provide education outreach to school-aged populations.
Mitigation,Explore micro-mobility for first mile/last mile needs.
Mitigation,Participate in future SANDAG-led mobility hub planning programs.
Mitigation,"Coordinate with regional transit authorities and local school districts to improve public transit, including coordination to improve headways at bus stops within the city."
Mitigation,Reduce electricity use from City-owned streetlights by converting existing HPS lights to LED lights.
Mitigation,"Adopt an Energy Efficiency Ordinance that requires renovations or additions to existing non-residential developments with a permit value of $25,000 or greater to implement energy retrofit measures. Energy retrofits must demonstrate the development would result in a 15 percent decrease in energy consumption."
Mitigation,"Adopt an Energy Efficiency Ordinance that requires renovations or additions to existing residential developments with a permit value of $25,000 or greater to implement energy retrofit measures."
Mitigation,Identify Sage Projects that would increase building energy efficiency and could be implemented by the City.
Mitigation,Work with SDG&E to identify local businesses with high hot water heating load that could benefit from installation of solar water systems.
Mitigation,Implement building retrofit programs.
Mitigation,Facilitate homeowner and business owner financing of energy efficiency measures through PACE financing options.
Mitigation,"Adopt an ordinance requiring the installation of PV at new non-residential developments and major multi- family and commercial renovations and additions (permit value of $100,000 or more)."
Mitigation,Achieve zero net energy municipal operations through the installation of PV systems or other renewable energy generation systems at municipal facilities.
Mitigation,Adopt an ordinance requiring all new residential developments to be all-electric and install PV systems.
Mitigation,Participate in a CCA or similar program to increase grid-supply renewable and zero-carbon electricity supply to 90 percent by 2030.
Mitigation,Identify Sage Projects that would increase renewable and zero-carbon energy and could be implemented by the City
Mitigation,Support the implementation of SANDAG’s Roadmap Program.
Mitigation,Require landscaped areas at new residential and non-residential projects to meet the City’s WELO requirements by planting low water use plants and installing high efficiency irrigation systems.
Mitigation,Reduce water consumption in municipal facilities and landscape irrigation water use in City parks.
Mitigation,Identify Sage Projects that would increase water efficiency and could be implemented by the City.
Mitigation,Identify methods to streamline graywater permit review.
Mitigation,"Create, maintain, and advertise graywater education programs."
Mitigation,Encourage stormwater capture and reuse.
Mitigation,Partner with Helix Water District to share information with residents and local businesses for water audit programs and incentives for water efficient landscaping.
Mitigation,"Promote Department of Water Resources Rebate Programs for turf installation, xeriscaping, and other water efficiency projects."
Mitigation,Work with the City’s franchise waste hauler to achieve a citywide waste diversion rate of 80 percent by 2030.
Mitigation,Identify Sage Projects focused on reducing and recycling solid waste and could be implemented by the City.
Mitigation,Explore opportunities with franchise waste haulers and other local businesses to develop and encourage participation in commercial food scrap collection programs.
Mitigation,Develop an outreach campaign for communitywide materials management service offerings and behavior changes focused on lifecycle of materials.
Mitigation,Work with franchise waste haulers to add residential food scrap collection services to the City’s waste collection contract.
Mitigation,Collaborate with franchise waste hauler to promote an anaerobic digestion facility planned to open in 2021.
Mitigation,Develop and implement an Urban Tree Planting Program to increase the number of new trees planted at City-owned landscaped areas and rights-of-way.
Mitigation,Plant at least 22 new trees per year at new developments through 2030.
Mitigation,Identify Sage Projects that would increase carbon sequestration citywide and could be implemented by the City.
Mitigation,Explore grant opportunities for tree planting at existing developments.
Mitigation,A1.a.1 Encourage energy audits of existing buildings that inform building owners of their energy usage.
Mitigation,A1.a.2 Encourage energy audits at the time of sale of commercial and residential properties and provide information about potential upgrades.
Mitigation,"A1.a.3 Support increased use of solar water heating in residential, pool and commercial uses."
Mitigation,A1.a.4 Adopt an energy financing program to encourage energy efficiency retrofits in existing buildings.
Mitigation,A1.a.5 Provide low- or no-cost weatherization improvements for low-income households.
Mitigation,"A1.b.1 Encourage private development projects to exceed the energy efficiency requirements of CalGreen by providing technical assistance, financial assistance and other incentives."
Mitigation,A1.b.2 Encourage LEED certification for all new commercial and industrial buildings.
Mitigation,A1.b.3 Increase enforcement of building energy requirements to reduce the rate of noncompliance.
Mitigation,"A1.c.1 Support the SDG&E feed-in tariff or other policies that will facilitate increased, cost-effective installation of small-scale renewable energy systems like solar photovoltaics."
Mitigation,A1.c.2 Encourage local homebuilders to participate in the New Solar Homes Partnership to install solar photovoltaics on new homes.
Mitigation,A1.d.1 Support mechanisms that encourage installation of smart appliances that interface with smart meters and provide real time electricity pricing information to consumers.
Mitigation,"A1.e.1 Provide information and resources about peak demand and climate change, as well as environmental and monetary costs associated with peak electricity demand."
Mitigation,"A2.a.1 Foster land use intensity near, along with connectivity to, retail and employment centers and services to reduce vehicle miles traveled (VMT) and increase the efficiency of delivery of services."
Mitigation,A2.a.2 Reduce parking requirement in smart growth areas to discourage the use of single-occupancy vehicles.
Mitigation,A2.b.1 Support the San Diego Metropolitan Transit Service (MTS) in making performance and quality improvements to existing transit service in National City.
Mitigation,A2.b.2 Implement bicycle corridor improvements and supportive infrastructure.
Mitigation,"A2.b.3 Implement strategies that prioritize parking for high occupancy vehicles (HOVs) – carpools, vanpools and transit vehicles."
Mitigation,A2.b.4 Encourage employers to institute telework programs and alternative work schedules to reduce commuting during peak hours.
Mitigation,"A2.b.5 Encourage employers to institute programs that provide financial incentives for commuters to reduce their vehicle trips and use alternative transportation modes like walking, bicycling, public transit and carpooling, often as an alternative to subsidized employee parking. a) Parking Cash Out: Commuters offered subsidized parking are also offered the cash equivalent if they use alternative travel modes. b) Travel Allowances: Financial payments provided to employees in lieu of parking subsidies. Commuters could use the travel allowance to pay for parking or for another travel mode. c) Transit and Rideshare Benefits: Free or discounted fares provided to employees. d)Reduced Employee Parking Subsidies: Commuters who drive would pay a portion or all of their parking costs."
Mitigation,"A2.c.1 Conduct education campaigns or similar efforts to promote fuel-efficient or “eco-driving” practices, such as reducing idling and gentle accelerations."
Mitigation,"A2.d.1 Implement neighborhood traffic calming projects (e.g., replace stopcontrolled intersections with roundabouts)."
Mitigation,A2.d.2 Continue to coordinate traffic signals to facilitate efficient traffic conditions.
Mitigation,A2.e.1 Develop streamlined permitting requirements and standardized design guidelines and siting criteria for all types of electric charging stations.
Mitigation,"A3.a.1 Implement a program to reduce, reuse and recycle community construction and demolition waste."
Mitigation,A3.a.2 Establish incentives for residents to participate in green waste recycling programs.
Mitigation,A3.a.3 Educate owners and residents of multi-family housing about recycling requirements and opportunities.
Mitigation,A3.a.4 Work with members of the Regional Solid Waste Association (RSWA) to establish a curbside composting pilot project through the EDCO waste collection service.
Mitigation,A3.a.5 Work with EDCO to encourage waste audits and waste reduction plans for existing and new commercial developments.
Mitigation,A3.a.6 Encourage EDCO to implement a restaurant food waste collection program.
Mitigation,A4.a.1 Adopt water efficiency principles similar to the Ahwahnee Water Principles for Resource Efficient Land Use1 for new and existing residential and commercial developments.
Mitigation,"A4.a.2 Support landscape design educational programs to help residential and commercial customers install low water use landscaping, thereby reducing water-related energy use."
Mitigation,A4.a.3 Encourage water efficiency audits at point of sale for commercial and residential properties.
Mitigation,A4.a.4 Work with the Sweetwater Authority to identify uses for existing unused reclaimed water to decrease the amount of water imported by the Sweetwater Authority.
Mitigation,A4.a.5 Identify and support programs for residential re-use of gray water to decrease the amount of energy needed to meet water needs.
Mitigation,B1.a.1 Continue to audit city buildings and facilities to quantify energy use and identify opportunities for energy savings through efficiency and conserva- tion measures.
Mitigation,"B1.a.2 Establish public facility energy efficiency standards and provide employees with guidelines, instructions and requirements for efficient use of facilities."
Mitigation,B1.a.3 Encourage all new municipal buildings and facilities to meet at least LEED Silver certification standards.
Mitigation,"B1.a.4 Utilize all available rebates and incentives for energy efficiency and distributed generation installations, such as state public good programs and solar programs."
Mitigation,"B1.a.5 Continue to convert street lighting, water pumps, water treatment and other energy intensive operations to more efficient technologies."
Mitigation,B1.a.6 Participate in peak demand reduction programs and undertake peak demand reduction measures at local government facilities.
Mitigation,"B1.a.7 Implement off-peak scheduling of pumps, motors and other energy intensive machinery where feasible."
Mitigation,"B1.a.8 Support the installation of solar panels on municipal facilities, including the community swimming pool."
Mitigation,"B1.a.9 Conserve and expand parks, open space and other natural lands for carbon sequestration."
Mitigation,"B1.a.10 Manage parks, open space and other natural areas to ensure the long-term health and viability of trees and other vegetation."
Mitigation,B1.a.11 Develop and implement a community-wide urban forestry management and reforestation program to significantly increase the carbon storage potential of trees and other vegetation in the community.
Mitigation,"B1.a.12 Encourage rooftop gardens, especially for large, flat-roofed industrial, commercial and institutional buildings."
Mitigation,"B2.a.1 Implement programs and provide incentives to encourage reduced emissions from employee commute, including telecommuting, alternative work schedules, carpooling/vanpooling, and active transportation."
Mitigation,B3.a.1 Continue to integrate alternative transportation fuels and vehicles into the government fleet and the fleets of contractors.
Mitigation,B4.a.1 Audit the City’s water and wastewater pumps and motors to identify the most and least efficient equipment.
Mitigation,B4.a.2 Develop and implement a motor/pump efficiency cycling schedule to use more efficient water or wastewater motors/pumps first.
Mitigation,B4.a.3 Replace least efficient water and wastewater pumps and motors with more efficient equipment.
Mitigation,"B4.a.4 Assess, maintain and repair existing plumbing fixtures, pipes and irrigation systems in all municipal buildings and facilities."
Mitigation,B4.a.5 Upgrade agency plumbing and irrigation systems with state-of-the-art water-efficient technology.
Mitigation,"B4.a.6 Encourage the use of recycled water for municipal facilities and operations, including parks and medians, where appropriate."
Mitigation,B4.a.7 Use compost and mulch in agency landscaping to conserve water.
Mitigation,"Adopt a Renewable Energy Procurement Policy that mandates that the City will procure 75 percent of local energy from renewable sources. Mechanisms for achieving Renewable Energy Procurement goals could include partnership with SDG&E, Community Choice Aggregation, or similar program."
Mitigation,Collaborate with SDG&E to explore potential mechanisms to achieve Renewable Energy Procurement goals through partnership with SDG&E such as encouraging homeowners or businesses to participate in SDG&E’s EcoChoice or EcoShare Programs.
Mitigation,Collaborate with SDG&E to reassess community energy procurement annually based on CPUC RPS Program Compliance Reports and participation in SDG&E EcoChoice or EcoShare Programs annually and make results available to the public.
Mitigation,Conduct a CCE Program Feasibility Study and collaborate with neighboring jurisdictions to explore opportunities to establish a regional Joint Powers Authority CCE Program.
Mitigation,Adopt an ordinance that requires all new development projects that include 50 or more off-street parking spaces to offset at least 50 percent of forecasted energy demand through on-site renewable energy sources2 .
Mitigation,"Continue to promote financing options and rebates available through SDG&E, the California Solar Initiative, and Property Assessed Clean Energy (PACE) Programs such as the Home Energy Renovation Opportunity (HERO), California First, Ygrene, Figtree, and California Statewide Communities Development Authority Programs."
Mitigation,"Maintain the Expedited Permitting for Residential Solar PV Systems and, on a continuing basis, ensure that regulatory provisions such as compliance with zoning regulations, structure height limitations, permits submittal, review process, etc. do not hinder solar PV installation."
Mitigation,"Collaborate with local solar PV system vendors to establish an Aggregated Demand Solar PV Program. To implement the program, the City will advertise to the community on behalf of local vendors in exchange for negotiated for discounted “bulk pricing.”"
Mitigation,"Promote disclosure of historic building energy use, energy use benchmark scores, and energy audits at the time-of-sale of residential real estate."
Mitigation,"Promote financing options and rebates for residential energy efficiency upgrades available through SDG&E, the California Solar Initiative, and PACE Programs."
Mitigation,Promote financing options available through the SASH Program and offer alternative financing for other energy efficiency upgrades as part of the LIWP.
Mitigation,"Promote use of building energy use benchmarking using tools such as ENERGY STAR Portfolio Manager. Additionally promote SDG&E’s San Diego Retrocommissioning Program for buildings with more than 50,000 square feet of air-conditioned space."
Mitigation,Promote disclosure of building energy use and energy use benchmark scores at the time-of-sale of non-residential real estate.
Mitigation,"Water Loss: Maintain a thorough annual accounting of water production, sales by customer class, and quantity of water produced but not sold (non-revenue water). In conjunction with system accounting, include audits that identify and quantify known legitimate uses of non-revenue water in order to determine remaining potential for reducing water losses."
Mitigation,Single Family Indoor Water Surveys: Indoor and outdoor water surveys for existing single-family residential customers. Target those with high water use and provide a customized report to owner.
Mitigation,"High Efficiency Faucet Aerator, Showerhead, and Soil Moisture Sensor Giveaway: Utility would buy showerheads, kitchen and bathroom faucet aerators, and soil moisture sensors in bulk and give them away at Utility office or community events."
Mitigation,"Residential Clothes Washer Rebate: Provide a rebate for efficient washing machines to single-family homes and apartment complexes that have common laundry rooms. It is assumed that the rebates would remain consistent with relevant state and federal regulations (Department of Energy, Energy Star) and only offer the best available technology."
Mitigation,Residential Outdoor Water Surveys: Outdoor water surveys offered for existing customers. Prioritize those with high water use and provide a customized report on how to save water.
Mitigation,"Large Landscape Outdoor Water Audit: Outdoor water audits offered for existing large landscape customers. Prioritize those with high water use and provide a customized report on how to save water. All large multifamily residential, commercial, industrial and institutional, and public irrigators of large landscapes would be eligible for free landscape water audits upon request."
Mitigation,Large Landscape Water Budgeting/Monitoring: Website that provides feedback on irrigation water use (budget vs. actual). Individual customer interface and portal for additional analytics.
Mitigation,Rotating Sprinkler Nozzle Rebates: Provide rebates to replace standard spray sprinkler nozzles with rotating nozzles that have lower application rates.
Mitigation,Provide Rain Barrel Incentive: Provide incentive for installation of residential rain barrels.
Mitigation,"Top Water Users Program:  Top water customers from each category would be offered a professional water survey that would evaluate ways for each to save water and money. The surveys would be for high volume users (i.e., accounts that use more than 5,000 gallons of water per day), such as hotels, restaurants, stores, and schools."
Mitigation,"Commercial, Industrial and Institutional Rebates to Replace Inefficient Equipment: Program to provide rebates for a standard list of water efficient equipment. Included per current SoCal WaterSmart program are the following devices and base rebate amounts: Premium High-Efficiency Toilets, Ultra Low and Zero Water Urinals, Plumbing Flow Control Valves, Connectionless Food Steamers, Air-cooled Ice Machines, Cooling Tower Conductivity Controllers, Cooling Tower pH Controllers, Dry Vacuum Pumps, and Laminar Flow Restrictors."
Mitigation,"Public Information: Public information includes the following: conservation print media; electronic conservation options/web site/social media; speakers bureau/event participation; billing report educational tools; media campaigns, such as “Take Control of your Controller;"" recognition programs for water savings by residences, apartments, businesses program; outdoor residential focused public awareness information program and efficient outdoor use education and training programs; training for landscape maintenance workers, networking with landscaping industry, landscape water calculator, and climate appropriate demonstration gardens."
Mitigation,"Model Water Efficient Landscape Ordinance: Adopt the California Department of Water Resources Model Water Efficient Landscape Ordinance (MWELO). MWELO promotes efficient landscapes in new developments and retrofitted landscapes while increasing water efficiency standards for new and retrofitted landscapes through more efficient irrigation systems, , on-site storm water capture, and by limiting the portion of landscapes that can be covered in turf."
Mitigation,"Automated Meter Infrastructure (AMI): City will install AMI meters and provide a means of viewing daily consumption inside their home/business either through the internet or separate device. The AMI system would, on demand, indicate to the customer and Utility where and how their water is used, facilitating water use reduction and prompt leak identification. Also require that larger or irrigation customers install such AMI meters."
Mitigation,"Require Plan Review for New Commercial, Industrial, and Institutional: Require plan reviews for water use efficiency for all new business customers."
Mitigation,"Promote High Efficiency Pre-Rinse Spray Valves: Provide free spray rinse valves and possibly free installation operation in restaurants, commercial kitchens, grocery stores, and other locations."
Mitigation,"School Education: Work with local school districts to develop classroom programs to promote water use efficiency education. Consider poster contests, etc. Some programs would require dedicated utility staff to assist and present."
Mitigation,Incentive for Recycled Water: Conversions Provide incentives for recycled water conversion.
Mitigation,"Ag Water Audit Program: Water audit offered for existing agricultural customers. Those with high water use are targeted, offered a survey, and provided a customized report on how to save water"
Mitigation,Promote use of building water consumption benchmarking using tools such as Portfolio Manager.
Mitigation,Promote disclosure of building water consumption and water consumption benchmark scores at the time-of-sale of non-residential real estate.
Mitigation,"Identify and implement capital improvements to the San Luis Rey Water Reclamation Facility that increase the supply capacity of recycled water that meets Title 22 requirements for unrestricted use to at least 3.0 million gallons per day by 2025; 5.5 million gallons per day by 2035, and 7.5 million gallons by 2045."
Mitigation,Successfully implement new single-stream recycling program to increase recycling participation through the standardization of services and collection containers.
Mitigation,Update the City’s recycling ordinance and provide technical assistance to businesses to comply with the AB 341 State mandatory commercial recycling program.
Mitigation,"Place recycling containers at public facilities wherever trash containers are located, phased (only highest use coastal areas)."
Mitigation,"Expand education outreach regarding the CalGreen, which requires a minimum a 65 percent recycling rate."
Mitigation,"Develop and adopt an extended producer responsibility resolution to support phasing out toxic products and products that cannot be reused, recycled, or composed."
Mitigation,Develop a Plastic Bag Reduction Ordinance coordinated with Solana Beach and other nearby jurisdictions. State Measure (SB 270)
Mitigation,"Support and expand school composing, commercial on-site composting, and home composting programs. Educate all landscapers working in the City about the cost savings and other benefits of using composting facilities. (Love Your Planet Program)"
Mitigation,Support and expand reuse opportunities in Oceanside. (CurbUp Program)
Mitigation,Waste Management to conduct a waste generation/characterization study to provide a solid baseline for measuring progress toward its Zero Waste Goal. (Organics Feasibility Study)
Mitigation,Adopt Plastic Bag Reduction Ordinance. State Measure (SB 270)
Mitigation,"Develop a program for business and institution waste reduction services that includes: workshops tailored to specific industries, waste audits, technical assistance, educational materials, and a recognition program. Medium and large businesses and institutions could be provided expert support and funding to prevent waste, reduce operating costs, and use all resources more efficiently. These services would be offered through the Green Oceanside Campaign and would be designed according to principles of community-based social marketing for sustainability."
Mitigation,Develop and adopt a construction and demolition recycling ordinance. State Measure (2016 Title 24)
Mitigation,"Enhance outreach, education, training, and enforcement/reinforcement programs."
Mitigation,"Place recycling containers at all public facilities wherever trash containers are located phased in as soon as possible. (public parks, shopping malls, and transportation depots)."
Mitigation,Develop and adopt an environmental preferable purchasing program.
Mitigation,"Develop list on City website of businesses or nonprofits that will take back products and packaging from customers that are otherwise difficult to reuse, recycle, or compost locally."
Mitigation,"Develop and adopt take-back policies for sharps, mercury batteries, light bulbs, and pharmaceuticals."
